query;score;competitiveness
nato phonetic alphabet;500000;Средний
military alphabet;500000;Средний
nato alphabet;500000;Средний
icao spelling alphabet;500000;Средний
international radiotelephony spelling alphabet;500000;Средний
nato alpha phonetic;500000;Средний
nato numeric alphabet;500000;Средний
nato phonetic;500000;Высокий
nato phonetic alphabet code;500000;Средний
nato spelling;500000;Высокий
nato telephonic alphabet;500000;Средний
the nato phonetic alphabet;500000;Средний
military alphabet code;50000;Средний
alpha bravo alphabet;50000;Средний
alpha alphabet military;50000;Высокий
alphabet army code;50000;Средний
alphabetic codes;50000;Средний
army alphabet phonetic;50000;Высокий
code military alphabet;50000;Средний
military abc codes;50000;Средний
military code letters alphabet;50000;Средний
military mnemonic alphabet;50000;Высокий
pneumonic alphabet military;50000;Высокий
police mnemonic alphabet;50000;Средний
phonetic alphabet military;5000;Средний
alpha bravo charlie alphabet;5000;Высокий
military alphabet names;5000;Средний
police alphabet code;5000;Средний
alpha beta charlie alphabet;5000;Высокий
nato alphabet code;5000;Средний
nato codes;5000;Средний
military alphabet words;5000;Средний
alpha phonetic alphabet;5000;Высокий
able baker alphabet;5000;Низкий
alfabet alpha bravo charlie;5000;Высокий
