query;score;competitiveness
pigpen cipher;50000;Низкий
alphabet pigpen;50;Низкий
freemason cipher decoder;50;Низкий
freemason's cipher;50000;Низкий
masonic cipher alphabet;50;Низкий
masonic cipher code;50;Низкий
masonic cipher decoder;500;Низкий
masonic cipher generator;500;Низкий
masonic cipher key;50;Низкий
masonic cipher translator;50;Низкий
masonic pigpen cipher;500;Низкий
pigpen alphabet;500;Низкий
pigpen cipher decoder;5000;Низкий
pigpen cipher encoder;500;Низкий
pigpen cipher puzzles;50;Низкий
pigpen cipher translator;5000;Низкий
pigpen cypher;50000;Низкий
pigpen encoder;50;Низкий
pigpen encryption;50;Низкий
pigpen generator;50;Низкий
the masonic cipher;50;Низкий
