query;score;competitiveness
generate uuid4;500000;Низкий
get uuid;500000;Низкий
uuid gen;500000;Низкий
uuid4 generator;500000;Низкий
generator guid;50000;Низкий
random uuid;50000;Низкий
uuid v4;50000;Низкий
create a uuid;5000;Низкий
generate guid online;5000;Низкий
generate random uuid;5000;Низкий
generate uuid online;5000;Низкий
generate uuid v4;5000;Низкий
get random uuid;5000;Низкий
make uuid;5000;Низкий
new guid;5000;Низкий
online generate uuid;5000;Низкий
online uuid;5000;Низкий
online uuid generator;5000;Низкий
random guid generator;5000;Низкий
random uuid generator;5000;Низкий
uuid example;5000;Низкий
uuid generate online;5000;Низкий
uuid generator v4;5000;Низкий
uuid online;5000;Низкий
uuid random;5000;Низкий
uuid v4 generator;5000;Низкий
generator uuid;500;Низкий
create guid online;500;Низкий
create uuid online;500;Низкий
free guid generator;500;Низкий
free online guid generator;500;Низкий
generate a uuid;500;Низкий
generate uuid v4 online;500;Низкий
random uuid online;500;Низкий
