query;score;competitiveness
помогите разгадать шифр;103;AVERAGE
разгадайте шифр пожалуйста;88;HIGH
разгадать шифр;66;AVERAGE
как распознать шифр;44;AVERAGE
расшифровка шифров онлайн;13;AVERAGE
шифр как разгадать;11;AVERAGE
как разгадать шифр;10;HIGH
нужно разгадать шифр;9;AVERAGE
шифр разгадать;8;AVERAGE
шифр расшифровать;8;AVERAGE
сайт для расшифровки шифров;8;AVERAGE
шифр расшифровка;8;AVERAGE
не могу разгадать шифр;7;AVERAGE
помоги разгадать шифр;7;HIGH
определитель шифра;5;AVERAGE
как разгадать шифр из цифр;4;AVERAGE
шифры расшифровка;4;AVERAGE
определить шифр;4;AVERAGE
разгадывать шифры;3;AVERAGE
помогите шифр разгадать;3;AVERAGE
разгадай шифр;3;AVERAGE
кто сможет разгадать шифр;3;HIGH
определить шифр онлайн;3;AVERAGE
определитель шифров;3;AVERAGE
это шифр попробуйте разгадать;2;HIGH
как разгадать шифр из букв;2;AVERAGE
разгадайте шифр;2;HIGH
как разгадать шифр из букв русского алфавита;2;AVERAGE
распознавание шифра;2;AVERAGE
распознать шифр онлайн;2;AVERAGE
распознать шифр;1;AVERAGE
