query;score;competitiveness
алфавит пляшущие человечки;4;HIGH
азбука пляшущих человечков;2;HIGH
пляшущие человечки алфавит;2;HIGH
шифр шерлока холмса;1;HIGH
алфавит пляшущих человечков;1;AVERAGE
азбука танцующих человечков;1;NO_DATA
шрифт пляшущие человечки;1;AVERAGE
пляшущие человечки шифр;27;HIGH
шифр пляшущие человечки;16;HIGH
шифр человечки;5;HIGH
шифр пляшущие человечки отдельно каждая буква;4;AVERAGE
шифр пляшущие человечки зашифровать онлайн;4;LOW
шифр человечки для квеста;4;AVERAGE
танцующие человечки шифр;3;HIGH
шифр в виде человечков;2;HIGH
шифр танцующие человечки;1;HIGH
шифр пляшущие человечки зашифровать;1;NO_DATA
шифр пляшущие человечки задания для детей;1;NO_DATA
шифр с человечками;1;HIGH
шифр пляшущих человечков;1;AVERAGE
пляшущие человечки шифр шерлок холмс;1;NO_DATA
