query;score;competitiveness
буквы в цифры;186;NO_DATA
буквы цифрами;171;NO_DATA
из букв в цифры;63;NO_DATA
перевод букв в цифры;54;NO_DATA
шифр буквы в цифры;49;NO_DATA
буквы как цифры;45;NO_DATA
буквы в цифрах;44;NO_DATA
текст цифрами;35;NO_DATA
буквы цифрами онлайн;34;NO_DATA
перевести буквы в цифры;34;NO_DATA
текст в цифры;34;NO_DATA
перевести слово в цифры;30;NO_DATA
слова в цифры;27;NO_DATA
переводчик на цифры;22;NO_DATA
слова в цифрах;19;NO_DATA
переводчик с букв на цифры;17;NO_DATA
переводчик с русского на цифры;17;NO_DATA
английские буквы в цифрах;16;NO_DATA
перевод слов в цифры;16;NO_DATA
переводчик в цифры;14;NO_DATA
перевести слова в цифры;14;NO_DATA
буквы в виде цифр;14;NO_DATA
перевод букв в цифры онлайн;13;NO_DATA
перевод текста в цифры;13;NO_DATA
а1я33 шифр онлайн;12;NO_DATA
цифры букв;12;NO_DATA
буквы в числа;12;NO_DATA
letters to numbers;12;NO_DATA
буквы в десятичной системе;11;NO_DATA
найти буквы и превратить их в цифры;11;NO_DATA
буквы перевести в цифры;10;NO_DATA
перевести в цифры;10;NO_DATA
как цифрами написать слово;10;NO_DATA
числа в буквы;49;NO_DATA
десятичный код в текст;36;NO_DATA
